GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene symbol
FBgn0026323	1660.22256548612	-0.298596769953598	0.100990977763182	-2.95666777931183	0.00310982988771144	0.0313191366223419	chrX	20515907	20524928	-	protein_coding	Tak1
FBgn0031220	2695.58342450028	0.278928141248827	0.0945701249564043	2.94943187795733	0.00318358748904818	0.0320246690322742	chr2L	116969	121754	-	protein_coding	CG4822
FBgn0036354	1102.21430891726	-0.343457914616839	0.116479273125456	-2.94866121156947	0.00319153633421107	0.0320673412627875	chr3L	13388298	13390006	-	protein_coding	Poc1
FBgn0035262	337.361572583182	-0.44616519011986	0.151424510552933	-2.94645291234997	0.003214413557675	0.0322597351362488	chr3L	1720615	1723153	-	protein_coding	CG18171
FBgn0040765	1585.682286814	0.385968515507996	0.131036288740455	2.94550860084635	0.00322424183545006	0.0323208761511918	chr2R	10977955	11116378	-	protein_coding	luna
FBgn0026409	8775.97735090163	-0.316826093584611	0.107706871330688	-2.94155878515749	0.00326564852803361	0.0326980618240958	chr3L	14537650	14540441	+	protein_coding	Mpcp2
FBgn0260746	1124.45074820934	0.350871367081796	0.119545944989817	2.93503361499785	0.00333511555585168	0.0333417547217221	chr3R	11999277	12003516	+	protein_coding	Ect3
FBgn0034644	1385.11454172408	-0.318613540212806	0.108590517138196	-2.93408253878492	0.00334535234059123	0.0333417547217221	chr2R	21646176	21657935	+	protein_coding	CG10082
FBgn0004456	3769.44256648923	-0.289581964252381	0.0986924450983224	-2.93418573188541	0.00334424025286442	0.0333417547217221	chrX	13214408	13258490	-	protein_coding	mew
FBgn0031990	4048.09782270228	-0.276220137502104	0.0941260357138254	-2.93457740366232	0.00334002236165978	0.0333417547217221	chr2L	8134246	8159638	-	protein_coding	PAPLA1
FBgn0039094	15.8274532456073	-0.681677763414464	0.232588875502901	-2.93082703091688	0.00338060955033552	0.0336543765477015	chr3R	23602506	23605495	-	protein_coding	CG10184
FBgn0038453	913.560246502082	0.301807746639954	0.103036252402185	2.92914134203849	0.00339899823419931	0.0337985445104118	chr3R	16643604	16645171	+	protein_coding	Arl6IP1
FBgn0035769	623.783096375278	-0.326980334407739	0.111859000471345	-2.92314729284125	0.00346512556517768	0.0343833404332363	chr3L	7353577	7356713	-	protein_coding	CTCF
FBgn0031968	74.5687604214653	0.573279625009691	0.196121068287523	2.92309046659502	0.00346575804621223	0.0343833404332363	chr2L	7983945	7986785	+	protein_coding	CG7231
FBgn0085334	50.0722395600221	-0.68004898693895	0.232860768472808	-2.92041030096644	0.00349570813005062	0.0346407457423459	chr3R	4242784	4243146	-	protein_coding	CG34305
FBgn0026143	305.271240058664	-0.393184455382257	0.134704881430508	-2.91885825670761	0.00351315927848076	0.0347738454440928	chrX	1028290	1030556	-	protein_coding	Cdc45
FBgn0031097	91.2846099237588	-0.53886737029229	0.184797058984524	-2.91599538030211	0.0035455575063669	0.0350544205572344	chrX	20239854	20243209	+	protein_coding	obst-A
FBgn0035295	526.102463003192	0.335129635026591	0.115042852239202	2.91308524174779	0.00357876895490181	0.0353423861059995	chr3L	1947564	1950262	+	protein_coding	Cnb
FBgn0020633	342.100767869604	0.381204468349382	0.130889866857204	2.91240626568336	0.00358655825300825	0.0353789229723767	chr3L	8891595	8894310	+	protein_coding	Mcm7
FBgn0010551	3318.79972440148	0.271250245561622	0.0931841234242895	2.91090623159651	0.00360382152786964	0.0355087244164012	chr2R	18819466	18822250	+	protein_coding	Phb2
FBgn0030051	32.649599379518	0.663984817668952	0.22820786577802	2.90956148862465	0.00361936183058762	0.0356212732609937	chrX	8571098	8573593	-	protein_coding	spirit
FBgn0004066	2837.87199062672	0.331609337598386	0.114002073172982	2.90880093991988	0.00362817794571495	0.0356674629640682	chrX	16276269	16277587	+	protein_coding	Prosalpha4
FBgn0036702	3074.38693227903	0.251213041493137	0.0864055848459474	2.90737041987535	0.00364481315427835	0.035790327579639	chr3L	17238612	17242128	-	protein_coding	CG6512
FBgn0004865	61.8081392080826	-0.59454675214856	0.204850332761173	-2.90234701664712	0.00370378011495594	0.0363281199257186	chr3L	21226608	21266503	+	protein_coding	Eip78C
FBgn0038484	26.5156491197401	-0.678228403730526	0.234076703140624	-2.8974622191388	0.00376195046231767	0.0367844212399833	chr3R	17136110	17137195	+	protein_coding	CG5246
FBgn0014141	23398.9156237913	-0.373472555996684	0.128883524589783	-2.89775250316432	0.00375847055971507	0.0367844212399833	chr3R	17091532	17125389	-	protein_coding	cher
FBgn0011659	567.705228548924	-0.328152128587823	0.11325862411443	-2.89736990144147	0.00376305777336553	0.0367844212399833	chr2R	8170273	8172401	+	protein_coding	Mlh1
FBgn0035287	57.4868471701366	-0.606935767036604	0.209612008594323	-2.89552001866099	0.0037853088534785	0.0369601657916958	chr3L	1876550	1883041	-	protein_coding	CG13937
FBgn0028399	3082.93542003677	-0.303545770919742	0.104872591321875	-2.89442424463509	0.00379854555593906	0.0370475959463684	chr3L	16412721	16415386	+	protein_coding	TMS1
FBgn0261283	16470.4297130761	-0.277936215239889	0.0962597163024003	-2.88735751481701	0.00388492519813397	0.0378051502964903	chr3L	19793934	19798979	+	protein_coding	SREBP
FBgn0033204	334.981136592644	-0.377917047790444	0.130886944913514	-2.8873547934071	0.00388495880402034	0.0378051502964903	chr2R	7663785	7665269	+	protein_coding	CG2065
FBgn0030077	396.130220044476	-0.371907478253633	0.128842239548123	-2.88653379169744	0.00389510917618262	0.0378613364979279	chrX	9054697	9067983	-	protein_coding	CG15365
FBgn0026380	1157.5218253136	0.315352193778967	0.109315582078615	2.88478721681398	0.00391678295640667	0.0380292809830236	chr3R	9005312	9006226	-	protein_coding	Prosbeta3
FBgn0034139	28.0329414141838	0.665475539595219	0.2309297626675	2.88172270177834	0.0039550763173698	0.0383580327596033	chr2R	16572081	16574154	+	protein_coding	CG4927
FBgn0030403	1054.30427157719	-0.307783907320892	0.106842208699605	-2.88073328946475	0.0039675121583869	0.0384355517157951	chrX	12592554	12595624	-	protein_coding	CG1824
FBgn0031304	1594.95809446959	-0.279702623226616	0.0971643415737529	-2.87865505695119	0.00399374897798771	0.0386464456471719	chr2L	1129315	1132411	+	protein_coding	TBC1D23
FBgn0033032	293.860637600177	0.38567180807941	0.134007720077624	2.87798201369301	0.0040022795770892	0.0386857213646912	chr2R	5671740	5672800	+	protein_coding	kune
FBgn0016754	884.166292711488	-0.325565467407164	0.113166431342108	-2.87687314644536	0.00401637018622376	0.03877613007205	chr3R	23894173	23922973	-	protein_coding	sba
FBgn0034643	1287.32817402269	-0.284285137843921	0.0988408924203702	-2.87618950904304	0.00402507973699005	0.03877613007205	chr2R	21634678	21638399	+	protein_coding	CG10321
FBgn0062978	19.2744558884361	-0.673460029824281	0.234150021902555	-2.87619033452217	0.00402506921004261	0.03877613007205	chr2L	16704285	16716195	-	protein_coding	CG31808
FBgn0053056	349.807664248271	-0.420713862110882	0.146344240764512	-2.87482349775464	0.00404253411822666	0.0389009595737251	chr3L	21198260	21203232	-	protein_coding	CG33056
FBgn0028690	1741.24609181965	0.256666292855671	0.089315400672898	2.87370700821985	0.00405685119994656	0.0389953552563752	chr3R	5789492	5791569	+	protein_coding	Rpn5
FBgn0060296	92.1815499788138	0.536914800673332	0.187013340744833	2.87099732315843	0.00409178989924325	0.0392005253802363	chr2R	24921504	24928275	-	protein_coding	pain
FBgn0034390	83.5040271757347	0.589794980235644	0.205417529698593	2.87120082254443	0.00408915652316101	0.0392005253802363	chr2R	18775668	18776978	-	protein_coding	CG15093
FBgn0016032	441.345699566993	0.434774525571924	0.151412556024218	2.87145621861363	0.00408585375655325	0.0392005253802363	chr2R	7049237	7051964	+	protein_coding	lbm
FBgn0040373	83.1861108486829	0.556567272035507	0.193964539508633	2.86942795546779	0.00411215000050247	0.0393520018300297	chrX	243953	245856	-	protein_coding	CG3038
FBgn0031540	215.276087912569	-0.432379395328901	0.15093017918328	-2.86476434115835	0.00417319681728325	0.0398920725594667	chr2L	3467341	3470004	-	protein_coding	Pif1
FBgn0030588	188.511954953215	0.473446095406784	0.165301183336976	2.86414220303334	0.00418140248108655	0.039926393889492	chrX	14851004	14853269	-	protein_coding	CG9521
FBgn0031048	896.237442540026	0.330699314144505	0.115799600032997	2.85578977863718	0.00429299275606786	0.0409016303224042	chrX	19641190	19642869	-	protein_coding	CG12237
FBgn0020545	1336.12135210934	-0.303736271244628	0.106355150246586	-2.85586800959249	0.00429193516395749	0.0409016303224042	chr2L	852767	854539	+	protein_coding	kraken
FBgn0034418	1020.09400451441	0.274554880101753	0.0961843743889225	2.85446447872694	0.00431094522715419	0.0410274886249845	chr2R	19133726	19137169	-	protein_coding	CG15118
FBgn0025390	182.629632808016	0.529165897830752	0.185420872994788	2.85386369551624	0.00431910581814652	0.0410599828931709	chrX	1523553	1668788	-	protein_coding	Mur2B
FBgn0261931	1264.36013507974	0.298749699895446	0.104716480469665	2.85293870225126	0.00433169762254112	0.0411344853266775	chrX	9608945	9623243	+	protein_coding	CG42797
FBgn0032805	196.799110948984	0.475769794729153	0.16681518049335	2.85207733086449	0.00434345326848056	0.0412008927912559	chr2L	19545375	19546959	-	protein_coding	CG10337
FBgn0004870	91.8925909941889	0.548933592593086	0.192508823691498	2.85147237444435	0.00435172674893577	0.0412341600274297	chr3L	1036368	1101089	-	protein_coding	bab1
FBgn0025571	1809.88393197647	-0.273282059596557	0.0959121158140114	-2.84929653857803	0.00438160206094052	0.0414264911794496	chr3R	17540420	17545148	+	protein_coding	SF1
FBgn0030412	1284.83995679499	-0.285762491189314	0.10029131811412	-2.84932431403631	0.00438121952148141	0.0414264911794496	chrX	12631604	12653442	+	protein_coding	Tomosyn
FBgn0261053	98.0340111340055	0.525957330540967	0.184685373693569	2.84785589688136	0.00440148495852738	0.0415690462622494	chr3R	10827078	10849030	+	protein_coding	Cad86C
FBgn0036893	163.636681120974	0.442963995104993	0.15566507097941	2.84562228583434	0.00443247367815697	0.0418160630204318	chr3L	19612454	19613489	+	protein_coding	PIG-F
FBgn0264699	49.6282017788759	0.632251558047756	0.222452095943157	2.8421919576308	0.00448045057051157	0.0421766897557079	chr3L	23784230	23787405	+	protein_coding	CG43968
FBgn0085450	1350.39404321923	-0.391725260210372	0.137818030501928	-2.84233680298378	0.00447841527323133	0.0421766897557079	chr2L	7891186	7984196	-	protein_coding	Snoo
FBgn0036101	216.150246632685	-0.439699435758924	0.154728296785099	-2.84175192834714	0.00448663879197061	0.0421890349884106	chr3L	10694359	10696877	-	protein_coding	NijA
FBgn0034447	1057.00463031364	-0.306148299419971	0.107841384555323	-2.83887582380691	0.00452727712129489	0.0424961312187652	chr2R	19452503	19455527	+	protein_coding	CG7744
FBgn0263200	607.361219640689	-0.324381847742518	0.114269423164932	-2.83874582331898	0.00452912183374194	0.0424961312187652	chr2L	6666263	6668033	-	protein_coding	Galt
FBgn0004133	1166.07677938789	-0.293194104906526	0.103407847420501	-2.83531774638217	0.00457801277591974	0.0429083299290159	chr2R	7580487	7587079	-	protein_coding	blow
FBgn0250732	1125.98397421757	-0.289486704252521	0.102123360781559	-2.83467663066564	0.00458720919524069	0.0429479943160467	chr3R	7145879	7150968	-	protein_coding	gfzf
FBgn0003575	909.300679061438	-0.315040637801269	0.111182567091501	-2.83354347756692	0.00460350452425017	0.043007470452795	chrX	635889	643760	+	protein_coding	su(sable)
FBgn0260632	1985.3880912965	-0.280512749961831	0.0989964659417573	-2.83356327211585	0.00460321941907275	0.043007470452795	chr2L	17436829	17450364	-	protein_coding	dl
FBgn0261789	990.730331211633	0.30355279090914	0.10718848617102	2.8319533352194	0.00462645999852179	0.0431753025320518	chr3R	6344999	6345911	-	protein_coding	SmD2
FBgn0039467	931.151044630638	-0.329850679343376	0.116539118196536	-2.83038592060654	0.00464918876645743	0.0433406595028268	chr3R	26978540	26985706	+	protein_coding	CG14253
FBgn0036199	501.096790229685	-0.334206332869262	0.118098875291464	-2.82988582274346	0.00465646183292265	0.043361734463524	chr3L	11720933	11728118	+	protein_coding	Bmcp
FBgn0035167	102.132785917023	0.554686126674262	0.196241021566053	2.82655543804107	0.00470515988433782	0.0437681055477489	chr3L	841450	843701	+	protein_coding	Gr61a
FBgn0250757	85.5657350735483	0.561274897920069	0.198736122242585	2.82422184546277	0.00473955669963367	0.0440407142948774	chr3R	25907021	25921046	+	protein_coding	CG42235
FBgn0000244	487.16170347573	-0.374455705731844	0.13262773570537	-2.82335895836818	0.004752333059786	0.0441120528972196	chr3R	9528237	9533011	-	protein_coding	by
FBgn0035204	569.143307454531	-0.331288653705866	0.117356856518755	-2.82291690092195	0.00475889046292547	0.0441255749140067	chr3L	1304849	1307418	-	protein_coding	CG2277
FBgn0037757	974.446049820275	0.295519436476207	0.104780762443721	2.82035966893192	0.00479698496378649	0.0444038780107271	chr3R	9793294	9797754	+	protein_coding	CG8516
FBgn0011236	1961.33191339922	-0.308520940269922	0.10939630644248	-2.82021349991503	0.00479917072477515	0.0444038780107271	chr2R	23870272	23877442	+	protein_coding	ken
FBgn0040070	3829.76335996191	0.297759357141065	0.105633216426154	2.81880422858488	0.00482029076085836	0.0445516403548993	chr2L	9613165	9616404	+	protein_coding	Trx-2
FBgn0017551	276.446297152448	0.384517024657194	0.136617064111766	2.81456073702933	0.0048843946756122	0.045095942730759	chr2L	6852314	6853866	+	protein_coding	Rca1
FBgn0030612	388.6183568521	-0.4269195386765	0.152071609589946	-2.807358584733	0.0049949605670936	0.0460185344685056	chrX	15086124	15088629	+	protein_coding	CG5599
FBgn0265523	23254.7286176641	-0.34411006095798	0.122559733875107	-2.80769262528458	0.0049897828146781	0.0460185344685056	chrX	12684202	12742618	-	protein_coding	Smr
FBgn0029895	132.923294534903	0.531270041796237	0.189277273343009	2.8068348218091	0.0050030888680875	0.0460443848913032	chrX	6699507	6719389	+	protein_coding	CG14441
FBgn0262945	144.756493236593	0.578665730394738	0.206267982191474	2.80540743282967	0.00502530133060707	0.0461996618608733	chrX	5831897	5832215	-	ncRNA	lncRNA:CR43264
FBgn0030243	1894.71889096764	-0.279491155212166	0.0996954534421133	-2.80344936065162	0.00505591712747787	0.0464317824520288	chrX	10857654	10866246	+	protein_coding	CG2186
FBgn0261989	16.9993690299759	0.64139084293288	0.228875015938791	2.8023628542506	0.00507297804550178	0.0465390594609076	chr2R	13570594	13572759	-	protein_coding	CG42807
FBgn0259228	6476.12475527679	-0.27061929025807	0.096683436397871	-2.79902432454323	0.00512572759945896	0.0469731668039401	chrX	6780789	6803593	-	protein_coding	C3G
FBgn0039385	669.570898598278	0.297265382833877	0.106359740467144	2.79490511661887	0.00519149496951864	0.0474752885637482	chr3R	25893494	25895026	+	protein_coding	CG5913
FBgn0000547	335.230359476307	0.440610941330557	0.157635551422351	2.79512417950715	0.00518797830110083	0.0474752885637482	chr2L	4031376	4115749	+	protein_coding	ed
FBgn0002773	40.3710681252022	-0.632031548445688	0.226174039505123	-2.79444780589584	0.00519884322932473	0.0474922838193117	chr3R	30171437	30174551	-	protein_coding	Mlc2
FBgn0038145	6145.76978720882	-0.26874869976632	0.0962768454762801	-2.79141571825317	0.00524780226739759	0.0476457822754226	chr3R	13382105	13385283	+	protein_coding	Droj2
FBgn0083983	98.9169217002164	0.547322279317733	0.195982154693944	2.79271487841564	0.00522677398913146	0.0476457822754226	chr2R	16098947	16099337	+	protein_coding	mRpL34
FBgn0033541	23.6375270650942	0.650699600587383	0.23311195801979	2.791360881333	0.00524869153953043	0.0476457822754226	chr2R	10648887	10649830	+	protein_coding	CG12934
FBgn0035023	1147.72835342553	-0.331842149036123	0.118857415880717	-2.79193474447698	0.00523939212980574	0.0476457822754226	chr2R	24537420	24558961	+	protein_coding	ITP
FBgn0034417	194.263850879599	-0.433656713380833	0.155344218592638	-2.79158579128085	0.00524504511517686	0.0476457822754226	chr2R	19122230	19129300	-	protein_coding	CG15117
FBgn0032202	498.512186286559	-0.410952203388441	0.147183399669024	-2.79210973732473	0.00523655934668787	0.0476457822754226	chr2L	10264124	10265229	+	protein_coding	REPTOR-BP
FBgn0020887	1070.3564873063	-0.297755265905221	0.106683852864986	-2.7910059292857	0.0052544509722536	0.0476480664161068	chr3L	19918241	19923462	-	protein_coding	Su(z)12
FBgn0263197	4719.43393969431	-0.270075687967205	0.0967835315259222	-2.79051284561639	0.0052624611953352	0.0476707348699946	chr2R	17519023	17535866	-	protein_coding	Patronin
FBgn0260768	162.019654491414	0.438625954901023	0.157221526382797	2.78985941042878	0.00527309334931905	0.0477170821809195	chr2R	22661933	22663241	+	protein_coding	CG42566
FBgn0052251	1121.48689851784	-0.387709529551631	0.139157769808075	-2.78611485428629	0.00533439672122916	0.0482213856168792	chr3L	4313482	4318608	+	protein_coding	Claspin
FBgn0010909	14820.6819821596	-0.261445742759445	0.0938768411238933	-2.78498658060302	0.00535299383947671	0.0483389871662975	chr3L	2554846	2586540	-	protein_coding	msn
FBgn0033663	19566.7460264896	0.241919839356841	0.0868773006450794	2.78461505549256	0.00535913041799384	0.0483439387341655	chr2R	11887567	11890979	-	protein_coding	ERp60
FBgn0041171	2379.23054571232	-0.257693717440683	0.092587391052062	-2.78324850190219	0.00538175683958183	0.0484974775200233	chr3L	4246342	4254306	-	protein_coding	ago
FBgn0003308	239.311921376706	-0.440702197812516	0.158625634556631	-2.7782533324094	0.00546519906141531	0.0491981655362163	chr3R	13032527	13038020	+	protein_coding	ry
FBgn0032603	244.393770655315	-0.409211344697207	0.147356569663665	-2.77701459548913	0.00548607153807062	0.0493347244031694	chr2L	16791567	16793444	+	protein_coding	CG17928
FBgn0027550	218.352681570917	-0.411911074159641	0.148348802159557	-2.77663903019998	0.00549241393931036	0.0493404703935347	chr2L	10761115	10764971	+	protein_coding	CG6495
FBgn0035267	36.3657345733875	0.633994632880157	0.228412669609828	2.77565440640022	0.00550907331656814	0.0494387896904886	chr3L	1746906	1752390	+	protein_coding	CG13921
FBgn0004597	284.805272381459	0.385613952975843	0.138981941318236	2.77456156762754	0.00552761702900392	0.0495537978423968	chr3R	14889003	14890205	-	protein_coding	CycC
FBgn0033357	482.680305345916	0.34462023127599	0.124350277223291	2.77136681132741	0.00558215037581078	0.049990872568467	chr2R	8951594	8952242	+	protein_coding	Tom7
FBgn0032422	43.8737451656652	0.618051886020506	0.223440411470846	2.76607030013972	0.00567363023544015	0.0507575751466316	chr2L	12175450	12177886	-	protein_coding	atilla
FBgn0030090	186.557063993249	-0.479861320558771	0.17389962139152	-2.75941555662393	0.00579048499964393	0.0517494687313219	chrX	9121972	9135099	-	protein_coding	fend
FBgn0004034	244.526041316781	0.470240746185349	0.170488925369927	2.75818939655476	0.0058122511533105	0.0518903867154687	chrX	356508	361245	+	protein_coding	y
FBgn0011305	624.830412754686	0.331376757770504	0.120173910140092	2.75747670508686	0.00582493635156481	0.051950025131327	chr2L	10261794	10263554	-	protein_coding	Rsf1
FBgn0033624	598.179355270455	-0.325403264141413	0.118023060105554	-2.757115972509	0.0058313665412346	0.0519538125110407	chr2R	11357901	11359176	-	protein_coding	CG12384
FBgn0050349	1335.34579390048	-0.276217663881813	0.100283221431419	-2.75437565665669	0.00588042299146792	0.052336974587643	chr2R	8907517	8910885	+	protein_coding	CG30349
FBgn0024277	6594.63330054366	0.24654449800104	0.0895606908802848	2.75282041236812	0.00590842975831078	0.0525321951070366	chr3L	995981	1034875	-	protein_coding	trio
FBgn0260934	5899.35087976948	-0.260593812654812	0.094802343546884	-2.74881192705892	0.0059811694328117	0.0531243293257228	chr2R	19456169	19485686	+	protein_coding	par-1
FBgn0030954	17.070153513366	0.641214741904085	0.23338887509837	2.74740919692005	0.00600681393143274	0.0532427738942876	chrX	18764482	18774027	-	protein_coding	CCKLR-17D3
FBgn0263355	843.577418954749	-0.320065026789353	0.116491100948904	-2.74754916197197	0.00600425066987308	0.0532427738942876	chr2L	20426198	20447905	+	protein_coding	CG31688
FBgn0002638	2544.19257364603	-0.241081893593391	0.0878351653904636	-2.74470814191199	0.00605647340837003	0.0536279953488323	chr3L	5930261	5932773	-	protein_coding	Rcc1
FBgn0250788	11444.1374761696	0.247354315234118	0.0901473949965415	2.74388755486065	0.00607163315232627	0.0537072580785016	chrX	17657371	17669371	+	protein_coding	beta-Spec
FBgn0004797	182.725601696184	-0.461211647540359	0.168154298777626	-2.74278832532425	0.00609199417135715	0.0538323203027689	chr2L	16816659	16826964	+	protein_coding	mdy
FBgn0023091	14.27905554738	0.62296096929103	0.227168068599167	2.74229108488936	0.00610122473745515	0.0538588726568617	chr2L	21331755	21342155	+	protein_coding	dimm
FBgn0034083	1846.04148632596	-0.281970993097085	0.102952310683914	-2.73885055346449	0.00616543922664283	0.054370249489997	chr2R	16150122	16169519	+	protein_coding	lbk
FBgn0259166	741.092602679289	0.300188187585311	0.10962680677992	2.73827357014924	0.00617626750419278	0.0544102751311321	chrX	14228059	14234066	-	protein_coding	CG42271
FBgn0264748	12.6924075054446	0.622573552563022	0.227435725581367	2.7373604167578	0.00619343970429044	0.0545060497271786	chr3L	18068727	18070150	-	protein_coding	CG44006
FBgn0032935	578.308690241143	-0.30347268808867	0.110888941269273	-2.73672635535173	0.00620538874873367	0.0545557094159502	chr2L	21212321	21220572	-	protein_coding	Atg18b
FBgn0283545	28.1203416749283	0.63323010484205	0.231448164308976	2.73594783839679	0.00622008848021937	0.0546294268450536	chrX	2726677	2727568	+	protein_coding	vilya
FBgn0010877	2804.99942351446	-0.244713028822946	0.0895115290218214	-2.7338716196356	0.00625944445551502	0.0548363877480343	chr3R	18288865	18298879	-	protein_coding	l(3)05822
FBgn0035137	1052.16770795251	-0.27824904160904	0.101784700553459	-2.73370202099184	0.00626266918218216	0.0548363877480343	chr3L	361471	365681	+	protein_coding	CG1233
FBgn0031483	647.737429189449	0.306036248813183	0.111938732230844	2.73396207652294	0.00625772513126172	0.0548363877480343	chr2L	2974858	2976862	-	protein_coding	CG9641
FBgn0004400	254.626649270328	0.4119601731145	0.150914320235044	2.72976197668244	0.00633800684793459	0.0554399365434602	chr2R	17628490	17633516	-	protein_coding	rhi
FBgn0051460	23.2636381089003	0.63473347443625	0.232650467560612	2.72827078789723	0.00636673199549095	0.0556349479727194	chr3R	8562672	8563445	+	protein_coding	CG31460
FBgn0036825	29422.6712643117	-0.272631429537912	0.0999520951542112	-2.72762095799274	0.00637928644394265	0.0556884026504014	chr3L	18898874	18900408	+	protein_coding	RpL26
FBgn0050148	59.49681675492	-0.616848720709243	0.226303542165625	-2.72575813355051	0.00641539900550395	0.0559471943514261	chr2R	20546594	20547658	-	protein_coding	CG30148
FBgn0029840	1067.36830680291	-0.291227895750363	0.106869942874637	-2.72506832058462	0.00642881826086272	0.0560077611024405	chrX	6082633	6090201	-	protein_coding	raptor
FBgn0033212	2405.8417995059	0.244178895409782	0.0898762154807479	2.71683552877332	0.00659093513223737	0.0573623539527017	chr2R	7676539	7698902	-	protein_coding	LRR
FBgn0022893	15014.6757400862	0.22846519803901	0.0841984515561501	2.71341329699693	0.0066593992412169	0.0578999626490125	chr2L	21626308	21629932	-	protein_coding	Df31
FBgn0264953	13189.6868300313	-0.27466221512135	0.101248767790719	-2.71274624980203	0.00667281820128381	0.0579583837944841	chr2L	8163072	8190137	+	protein_coding	Piezo
FBgn0032810	71.7466718431371	0.569543464821355	0.210139788976062	2.71030758904128	0.00672208376849217	0.0583277298708382	chr2L	19565862	19567359	+	protein_coding	CG13077
FBgn0030114	1016.3076830414	-0.320708148909806	0.118392485529419	-2.70885561254741	0.00675157149084305	0.0585248947567968	chrX	9250419	9255953	+	protein_coding	CG17754
FBgn0025366	6594.06440417032	-0.322644668921054	0.119157760704737	-2.70771007287171	0.00677491787581888	0.0586684830267358	chr2L	10408351	10409610	+	protein_coding	Ip259
FBgn0003124	2271.9002542655	0.232564729754198	0.0859228339469409	2.70666968337906	0.00679618411603333	0.0587937887878043	chr3L	20309653	20313466	+	protein_coding	polo
FBgn0040384	225.852689684074	-0.393034111395589	0.145241710463715	-2.70606914598255	0.0068084867816195	0.0588413777700203	chrX	2782905	2790567	-	protein_coding	CG32795
FBgn0036318	1750.43791235637	-0.239874583916365	0.08866425010559	-2.70542618508248	0.00682168071927084	0.0588965667688743	chr3L	12850164	12853169	+	protein_coding	Wbp2
FBgn0029659	56.0849120558958	0.595646532416003	0.220475073710419	2.70165022463424	0.00689963036382673	0.0595101717621785	chrX	3459015	3460240	-	protein_coding	CG16782
FBgn0250814	3063.69292846098	-0.25934257404317	0.0961042835681042	-2.69855374198162	0.00696414924539518	0.060006827810671	chr3L	16584123	16586111	+	protein_coding	UQCR-C2
FBgn0035558	5400.12742260241	-0.273123295100002	0.101245881039104	-2.69762376796855	0.0069836318900506	0.0601148253540575	chr3L	4542050	4553457	+	protein_coding	CG11357
FBti0018969	135.043191541993	0.544313852560013	0.20181437090215	2.69710154993831	0.00699459363242722	0.0601493335130496	chr2R	17236563	17241709	+	transposable_element	NA
FBgn0000524	874.985803730411	0.284217520070025	0.105414366683781	2.69619340333953	0.00701369310793237	0.0601939078142093	chrX	6533998	6538575	+	protein_coding	dx
FBgn0032018	1693.41270073702	-0.288689136718193	0.107067099730914	-2.69633844050823	0.00701063965292921	0.0601939078142093	chr2L	8311398	8317011	+	protein_coding	CG7806
FBgn0011766	5376.35403719572	-0.259018126782506	0.0961500031543742	-2.69389618601092	0.00706221575380692	0.0603111831058081	chr3R	21620303	21660871	-	protein_coding	E2f1
FBgn0003870	1515.53915532213	-0.27630516401019	0.102557772250939	-2.69414163301174	0.00705701699055064	0.0603111831058081	chr3R	31713866	31735392	+	protein_coding	ttk
FBgn0034408	187.694354970255	0.449533223932186	0.166826642046891	2.69461291324099	0.00704704453204424	0.0603111831058081	chr2R	18878390	18959500	+	protein_coding	sano
FBgn0000346	93.4935174144317	0.509414210704093	0.189025553443252	2.69494891788282	0.00703994228257728	0.0603111831058081	chrX	13259020	13262488	+	protein_coding	comt
FBgn0284220	5849.85155348175	0.228275528955613	0.0847274608434805	2.69423309377007	0.00705508065773178	0.0603111831058081	chr2L	19447364	19453490	-	protein_coding	Top2
FBgn0030839	158.313741020176	-0.469088919967866	0.17425568210048	-2.69195766997933	0.00710339605162455	0.0606030367284063	chrX	17423590	17428735	+	protein_coding	CG5613
FBgn0024841	751.707668126125	0.309302697709923	0.114946421586297	2.6908423371641	0.00712718687918357	0.0606863126887963	chr3R	29723162	29724226	+	protein_coding	Pcd
FBgn0031389	2277.92216607409	-0.369611590576787	0.137350654100983	-2.69100713786947	0.00712366706717837	0.0606863126887963	chr2L	2127308	2129237	-	protein_coding	CG4259
FBgn0033538	519.129234466707	-0.306523535882484	0.113988362881773	-2.68907744732159	0.00716497938790397	0.0609481186674113	chr2R	10617661	10641807	+	protein_coding	CG11883
FBgn0036317	522.344886558373	0.301953483184111	0.112393956778308	2.68656333346908	0.00721912607203282	0.0613483886533948	chr3L	12844253	12850117	-	protein_coding	CG10948
FBgn0037248	1770.53781807344	-0.244632354013025	0.0910738813140699	-2.68608683942443	0.00722942966530761	0.0613550383490591	chr3R	4422482	4429335	-	protein_coding	srl
FBgn0286890	279.42110616464	-0.467108981103455	0.17393458898666	-2.68554393824037	0.00724118531434394	0.0613550383490591	chr2R	11086293	11086898	+	ncRNA	lncRNA:CR46409
FBgn0031183	431.081133143609	-0.347059462839284	0.12921680355629	-2.68586943251617	0.00723413520342105	0.0613550383490591	chrX	22444226	22447808	+	protein_coding	CG14621
FBgn0032040	1031.92572175937	0.26709844836033	0.0995169748915505	2.6839486293811	0.00727582848600241	0.0615882507166408	chr2L	8399020	8400078	+	protein_coding	CG13386
FBgn0015240	535.506492586106	-0.303995035101447	0.113303870501969	-2.683006624175	0.00729635451096025	0.0616413699944503	chr3R	25025234	25029351	+	protein_coding	Hr96
